identifier,price,timestamp
allure-rs-2-2022,799,1756831825775
allure-rs-2-2023,949,1756831827127
allure-rs-2-2024,799,1756831829012
devote-1-2024,1399,1756831830618
devote-1-2022,1699,1756831832096
silex-400-oak-bork-2026,1599,1756831835591
silex-400-warm-slate-grey-2026,1599,1756831838851
escape-city-disc-1-2024,899,1756845925216
roam-disc-2-2024,899,1756845927740
roam-2,999,1756845929755
fastroad-sl-3-2022,999,1756845931668
fastroad-ar-2,1199,1756845933867
sdrbike-escape-1-city-disc,899,1756845936901
thrive-2,1199,1756845939642
rove-2,799,1756845941762
allure-rs-1-2023,1199,1756845943942
allure-rs-2-2022,799,1756845946475
allure-rs-2-2023,949,1756845948644
allure-rs-2-2024,799,1756845950636
devote-1-2024,1399,1756845952909
devote-1-2022,1699,1756845955315
silex-400-oak-bork-2026,1599,1756845959456
silex-400-warm-slate-grey-2026,1599,1756845963906
escape-city-disc-1-2024,899,1756874816781
roam-disc-2-2024,899,1756874818615
roam-2,999,1756874820335
fastroad-sl-3-2022,999,1756874822288
fastroad-ar-2,1199,1756874824326
sdrbike-escape-1-city-disc,899,1756874826599
thrive-2,1199,1756874828417
rove-2,799,1756874830232
allure-rs-1-2023,1199,1756874832113
allure-rs-2-2022,799,1756874834070
allure-rs-2-2023,949,1756874835710
allure-rs-2-2024,799,1756874837071
devote-1-2024,1399,1756874839000
devote-1-2022,1699,1756874840737
silex-400-oak-bork-2026,1599,1756874844065
silex-400-warm-slate-grey-2026,1599,1756874847220
escape-city-disc-1-2024,899,1756889397579
roam-disc-2-2024,899,1756889399348
roam-2,999,1756889401002
fastroad-sl-3-2022,999,1756889402520
fastroad-ar-2,1199,1756889404444
sdrbike-escape-1-city-disc,899,1756889406930
thrive-2,1199,1756889408883
rove-2,799,1756889410636
allure-rs-1-2023,1199,1756889412312
allure-rs-2-2022,799,1756889414366
allure-rs-2-2023,949,1756889416167
allure-rs-2-2024,799,1756889417452
devote-1-2024,1399,1756889419301
